artist,song,name,sentence,upos,xpos,dep_rel,posCorrection,NaP,last,compound
Justin Bieber,Baby,Baby,"Baby, Baby, Baby oh",PROPN,NNP,root,,,,
Justin Bieber,Baby,Baby,"Baby, Baby, Baby oh",PROPN,NNP,conj,,,,
Justin Bieber,Baby,Baby,"Baby, Baby, Baby oh",PROPN,NNP,conj,,,,
Justin Bieber,Baby,Baby,"Like Baby, Baby, Baby no",PROPN,NNP,root,,,,
Justin Bieber,Baby,Baby,"Like Baby, Baby, Baby no",PROPN,NNP,conj,,,,
Justin Bieber,Baby,Baby,"Like Baby, Baby, Baby no",PROPN,NNP,conj,,,,
Justin Bieber,Baby,Baby,"Like Baby, Baby, Baby no oh",PROPN,NNP,root,,,,
Justin Bieber,Baby,Baby,"Like Baby, Baby, Baby no oh",PROPN,NNP,conj,,,,
Justin Bieber,Baby,Baby,"Like Baby, Baby, Baby no oh",PROPN,NNP,conj,,,,
Justin Bieber,Baby,Baby,"Baby, Baby, Baby oh",PROPN,NNP,root,,,,
Justin Bieber,Baby,Baby,"Baby, Baby, Baby oh",PROPN,NNP,conj,,,,
Justin Bieber,Baby,Baby,"Baby, Baby, Baby oh",PROPN,NNP,conj,,,,
Justin Bieber,Baby,Baby,"Like Baby, Baby, Baby no",PROPN,NNP,root,,,,
Justin Bieber,Baby,Baby,"Like Baby, Baby, Baby no",PROPN,NNP,conj,,,,
Justin Bieber,Baby,Baby,"Like Baby, Baby, Baby no",PROPN,NNP,conj,,,,
Justin Bieber,Baby,Baby,"Like Baby, Baby, Baby no oh",PROPN,NNP,root,,,,
Justin Bieber,Baby,Baby,"Like Baby, Baby, Baby no oh",PROPN,NNP,conj,,,,
Justin Bieber,Baby,Baby,"Like Baby, Baby, Baby no oh",PROPN,NNP,conj,,,,
Justin Bieber,Baby,Baby,"And I'm in pieces, Baby, fix me",PROPN,NNP,appos,,,,
Justin Bieber,Baby,Baby,"Baby, Baby, Baby oh",PROPN,NNP,root,,,,
Justin Bieber,Baby,Baby,"Baby, Baby, Baby oh",PROPN,NNP,conj,,,,
Justin Bieber,Baby,Baby,"Baby, Baby, Baby oh",PROPN,NNP,conj,,,,
Justin Bieber,Baby,Baby,"Like Baby, Baby, Baby no",PROPN,NNP,root,,,,
Justin Bieber,Baby,Baby,"Like Baby, Baby, Baby no",PROPN,NNP,conj,,,,
Justin Bieber,Baby,Baby,"Like Baby, Baby, Baby no",PROPN,NNP,conj,,,,
Justin Bieber,Baby,Baby,"Like Baby, Baby, Baby no oh",PROPN,NNP,root,,,,
Justin Bieber,Baby,Baby,"Like Baby, Baby, Baby no oh",PROPN,NNP,conj,,,,
Justin Bieber,Baby,Baby,"Like Baby, Baby, Baby no oh",PROPN,NNP,conj,,,,
Justin Bieber,Baby,Baby,"Baby, Baby, Baby oh",PROPN,NNP,root,,,,
Justin Bieber,Baby,Baby,"Baby, Baby, Baby oh",PROPN,NNP,conj,,,,
Justin Bieber,Baby,Baby,"Baby, Baby, Baby oh",PROPN,NNP,conj,,,,
Justin Bieber,Baby,Baby,"Like Baby, Baby, Baby no",PROPN,NNP,root,,,,
Justin Bieber,Baby,Baby,"Like Baby, Baby, Baby no",PROPN,NNP,conj,,,,
Justin Bieber,Baby,Baby,"Like Baby, Baby, Baby no",PROPN,NNP,conj,,,,
Justin Bieber,Baby,Baby,"Like Baby, Baby, Baby no oh",PROPN,NNP,root,,,,
Justin Bieber,Baby,Baby,"Like Baby, Baby, Baby no oh",PROPN,NNP,conj,,,,
Justin Bieber,Baby,Baby,"Like Baby, Baby, Baby no oh",PROPN,NNP,conj,,,,
Justin Bieber,Baby,Baby,There was nobody that compared to my Baby,PROPN,NNP,obl,,,,
Justin Bieber,Baby,Baby,"Baby, Baby, Baby oh",PROPN,NNP,root,,,,
Justin Bieber,Baby,Baby,"Baby, Baby, Baby oh",PROPN,NNP,conj,,,,
Justin Bieber,Baby,Baby,"Baby, Baby, Baby oh",PROPN,NNP,conj,,,,
Justin Bieber,Baby,Baby,"Like Baby, Baby, Baby no",PROPN,NNP,root,,,,
Justin Bieber,Baby,Baby,"Like Baby, Baby, Baby no",PROPN,NNP,conj,,,,
Justin Bieber,Baby,Baby,"Like Baby, Baby, Baby no",PROPN,NNP,conj,,,,
Justin Bieber,Baby,Baby,"Like Baby, Baby, Baby no oh",PROPN,NNP,root,,,,
Justin Bieber,Baby,Baby,"Like Baby, Baby, Baby no oh",PROPN,NNP,conj,,,,
Justin Bieber,Baby,Baby,"Like Baby, Baby, Baby no oh",PROPN,NNP,conj,,,,
Justin Bieber,Baby,Baby,"Baby, Baby, Baby oh",PROPN,NNP,root,,,,
Justin Bieber,Baby,Baby,"Baby, Baby, Baby oh",PROPN,NNP,conj,,,,
Justin Bieber,Baby,Baby,"Baby, Baby, Baby oh",PROPN,NNP,conj,,,,
Justin Bieber,Baby,Baby,"Like Baby, Baby, Baby no",PROPN,NNP,root,,,,
Justin Bieber,Baby,Baby,"Like Baby, Baby, Baby no",PROPN,NNP,conj,,,,
Justin Bieber,Baby,Baby,"Like Baby, Baby, Baby no",PROPN,NNP,conj,,,,
Justin Bieber,Baby,Baby,"Like Baby, Baby, Baby no oh",PROPN,NNP,root,,,,
Justin Bieber,Baby,Baby,"Like Baby, Baby, Baby no oh",PROPN,NNP,conj,,,,
Justin Bieber,Baby,Baby,"Like Baby, Baby, Baby no oh",PROPN,NNP,conj,,,,
Elton John,Bennie and the Jets,Bennie,"Oh, Bennie, she's really keen",PROPN,NNP,vocative,,,,
Elton John,Bennie and the Jets,Bennie,But Bennie makes them ageless,PROPN,NNP,nsubj,,,,
Elton John,Bennie and the Jets,Bennie,"Oh, Bennie, she's really keen",PROPN,NNP,vocative,,,,
Elton John,Bennie and the Jets,Bennie,"Oh, Bennie, she's really keen",PROPN,NNP,vocative,,,,
Elton John,Bennie and the Jets,Bennie,"Bennie, Bennie and the Jets",PROPN,NNP,root,,,,
Elton John,Bennie and the Jets,Bennie,"Bennie, Bennie and the Jets",PROPN,NNP,conj,,,,
Elton John,Bennie and the Jets,Bennie,"Bennie, Bennie, Bennie, Bennie and the Jets",PROPN,NNP,root,,,,
Elton John,Bennie and the Jets,Bennie,"Bennie, Bennie, Bennie, Bennie and the Jets",PROPN,NNP,conj,,,,
Elton John,Bennie and the Jets,Bennie,"Bennie, Bennie, Bennie, Bennie and the Jets",PROPN,NNP,conj,,,,
Elton John,Bennie and the Jets,Bennie,"Bennie, Bennie, Bennie, Bennie and the Jets",PROPN,NNP,conj,,,,
Elton John,Bennie and the Jets,Bennie,"Bennie, Bennie, Bennie, Bennie, Bennie and the Jets",PROPN,NNP,root,,,,
Elton John,Bennie and the Jets,Bennie,"Bennie, Bennie, Bennie, Bennie, Bennie and the Jets",PROPN,NNP,conj,,,,
Elton John,Bennie and the Jets,Bennie,"Bennie, Bennie, Bennie, Bennie, Bennie and the Jets",PROPN,NNP,conj,,,,
Elton John,Bennie and the Jets,Bennie,"Bennie, Bennie, Bennie, Bennie, Bennie and the Jets",PROPN,NNP,conj,,,,
Elton John,Bennie and the Jets,Bennie,"Bennie, Bennie, Bennie, Bennie, Bennie and the Jets",PROPN,NNP,conj,,,,
Elton John,Bennie and the Jets,Bennie,"Bennie, Bennie, Bennie, Bennie and the Jets",PROPN,NNP,root,,,,
Elton John,Bennie and the Jets,Bennie,"Bennie, Bennie, Bennie, Bennie and the Jets",PROPN,NNP,conj,,,,
Elton John,Bennie and the Jets,Bennie,"Bennie, Bennie, Bennie, Bennie and the Jets",PROPN,NNP,conj,,,,
Elton John,Bennie and the Jets,Bennie,"Bennie, Bennie, Bennie, Bennie and the Jets",PROPN,NNP,conj,,,,
Elton John,Bennie and the Jets,Bennie,"Bennie, Bennie, Bennie, Bennie, Bennie, Bennie, Bennie, Bennie and the Jets, the Jets, the Jets",PROPN,NNP,root,,,,
Elton John,Bennie and the Jets,Bennie,"Bennie, Bennie, Bennie, Bennie, Bennie, Bennie, Bennie, Bennie and the Jets, the Jets, the Jets",PROPN,NNP,conj,,,,
Elton John,Bennie and the Jets,Bennie,"Bennie, Bennie, Bennie, Bennie, Bennie, Bennie, Bennie, Bennie and the Jets, the Jets, the Jets",PROPN,NNP,conj,,,,
Elton John,Bennie and the Jets,Bennie,"Bennie, Bennie, Bennie, Bennie, Bennie, Bennie, Bennie, Bennie and the Jets, the Jets, the Jets",PROPN,NNP,conj,,,,
Elton John,Bennie and the Jets,Bennie,"Bennie, Bennie, Bennie, Bennie, Bennie, Bennie, Bennie, Bennie and the Jets, the Jets, the Jets",PROPN,NNP,conj,,,,
Elton John,Bennie and the Jets,Bennie,"Bennie, Bennie, Bennie, Bennie, Bennie, Bennie, Bennie, Bennie and the Jets, the Jets, the Jets",PROPN,NNP,conj,,,,
Elton John,Bennie and the Jets,Bennie,"Bennie, Bennie, Bennie, Bennie, Bennie, Bennie, Bennie, Bennie and the Jets, the Jets, the Jets",PROPN,NNP,conj,,,,
Elton John,Bennie and the Jets,Bennie,"Bennie, Bennie, Bennie, Bennie, Bennie, Bennie, Bennie, Bennie and the Jets, the Jets, the Jets",PROPN,NNP,conj,,,,
Elton John,Bennie and the Jets,Bennie,"Bennie, Bennie, Bennie, Bennie, Bennie, Bennie, Bennie, Bennie, Bennie, Bennie, Bennie and the Jets",PROPN,NNP,root,,,,
Elton John,Bennie and the Jets,Bennie,"Bennie, Bennie, Bennie, Bennie, Bennie, Bennie, Bennie, Bennie, Bennie, Bennie, Bennie and the Jets",PROPN,NNP,conj,,,,
Elton John,Bennie and the Jets,Bennie,"Bennie, Bennie, Bennie, Bennie, Bennie, Bennie, Bennie, Bennie, Bennie, Bennie, Bennie and the Jets",PROPN,NNP,conj,,,,
Elton John,Bennie and the Jets,Bennie,"Bennie, Bennie, Bennie, Bennie, Bennie, Bennie, Bennie, Bennie, Bennie, Bennie, Bennie and the Jets",PROPN,NNP,conj,,,,
Elton John,Bennie and the Jets,Bennie,"Bennie, Bennie, Bennie, Bennie, Bennie, Bennie, Bennie, Bennie, Bennie, Bennie, Bennie and the Jets",PROPN,NNP,conj,,,,
Elton John,Bennie and the Jets,Bennie,"Bennie, Bennie, Bennie, Bennie, Bennie, Bennie, Bennie, Bennie, Bennie, Bennie, Bennie and the Jets",PROPN,NNP,conj,,,,
Elton John,Bennie and the Jets,Bennie,"Bennie, Bennie, Bennie, Bennie, Bennie, Bennie, Bennie, Bennie, Bennie, Bennie, Bennie and the Jets",PROPN,NNP,conj,,,,
Elton John,Bennie and the Jets,Bennie,"Bennie, Bennie, Bennie, Bennie, Bennie, Bennie, Bennie, Bennie, Bennie, Bennie, Bennie and the Jets",PROPN,NNP,conj,,,,
Elton John,Bennie and the Jets,Bennie,"Bennie, Bennie, Bennie, Bennie, Bennie, Bennie, Bennie, Bennie, Bennie, Bennie, Bennie and the Jets",PROPN,NNP,conj,,,,
Elton John,Bennie and the Jets,Bennie,"Bennie, Bennie, Bennie, Bennie, Bennie, Bennie, Bennie, Bennie, Bennie, Bennie, Bennie and the Jets",PROPN,NNP,conj,,,,
Elton John,Bennie and the Jets,Bennie,"Bennie, Bennie, Bennie, Bennie, Bennie, Bennie, Bennie, Bennie, Bennie, Bennie, Bennie and the Jets",PROPN,NNP,conj,,,,
Elton John,Bennie and the Jets,Candy,"Say, Candy and Ronnie, have you seen them yet?",PROPN,NNP,conj,,,,
Elton John,Bennie and the Jets,Candy,"Say, Candy and Ronnie, have you seen them yet?",PROPN,NNP,conj,,,,
Elton John,Bennie and the Jets,Candy,"Oh, Candy and Ronnie, have you seen them yet?",PROPN,NNP,vocative,,,,
Elton John,Bennie and the Jets,Ronnie,"Say, Candy and Ronnie, have you seen them yet?",PROPN,NNP,conj,,,,
Elton John,Bennie and the Jets,Ronnie,"Say, Candy and Ronnie, have you seen them yet?",PROPN,NNP,conj,,,,
Elton John,Bennie and the Jets,Ronnie,"Oh, Candy and Ronnie, have you seen them yet?",PROPN,NNP,conj,,,,
The Oak Ridge Boys,Elvira,Elvira,"Elvira, Elvira",PROPN,NNP,root,,,,
The Oak Ridge Boys,Elvira,Elvira,"Elvira, Elvira",PROPN,NNP,flat,,,,
The Oak Ridge Boys,Elvira,Elvira,"My heart's on fire, for Elvira",PROPN,NNP,obl,,,,
The Oak Ridge Boys,Elvira,Elvira,Cause I know that my Elvira's mine,PROPN,NNP,nmod:poss,,,,
The Oak Ridge Boys,Elvira,Elvira,"Elvira, Elvira",PROPN,NNP,root,,,,
The Oak Ridge Boys,Elvira,Elvira,"Elvira, Elvira",PROPN,NNP,flat,,,,
The Oak Ridge Boys,Elvira,Elvira,"My heart's on fire, for Elvira",PROPN,NNP,obl,,,,
The Oak Ridge Boys,Elvira,Elvira,"Elvira, Elvira",PROPN,NNP,root,,,,
The Oak Ridge Boys,Elvira,Elvira,"Elvira, Elvira",PROPN,NNP,flat,,,,
The Oak Ridge Boys,Elvira,Elvira,"My heart's on fire, for Elvira",PROPN,NNP,obl,,,,
The Oak Ridge Boys,Elvira,Elvira,"Elvira, Elvira",PROPN,NNP,root,,,,
The Oak Ridge Boys,Elvira,Elvira,"Elvira, Elvira",PROPN,NNP,flat,,,,
The Oak Ridge Boys,Elvira,Elvira,"My heart's on fire, for Elvira",PROPN,NNP,obl,,,,
The Oak Ridge Boys,Elvira,Elvira,"Elvira, Elvira",PROPN,NNP,root,,,,
The Oak Ridge Boys,Elvira,Elvira,"Elvira, Elvira",PROPN,NNP,flat,,,,
The Oak Ridge Boys,Elvira,Elvira,"My heart's on fire, for Elvira",PROPN,NNP,obl,,,,
The Oak Ridge Boys,Elvira,Elvira,"Elvira, Elvira",PROPN,NNP,root,,,,
The Oak Ridge Boys,Elvira,Elvira,"Elvira, Elvira",PROPN,NNP,flat,,,,
The Oak Ridge Boys,Elvira,Elvira,"My heart's on fire, for Elvira",PROPN,NNP,obl,,,,
Tony Bennett,When Joanna Loved Me,May,Every month was May,PROPN,NNP,root,,month,,
Tony Bennett,When Joanna Loved Me,May,May became December,PROPN,NNP,nsubj,,month,,
Tony Bennett,When Joanna Loved Me,May,And the month is May,PROPN,NNP,root,,month,,
Tony Bennett,When Joanna Loved Me,Paris,Every town was Paris,PROPN,NNP,root,,city,,
Tony Bennett,When Joanna Loved Me,Paris,And once again it's Paris,PROPN,NNP,root,,city,,
Tony Bennett,When Joanna Loved Me,Paris,Paris on a Sunday,PROPN,NNP,root,,city,,
Ricky Martin,Maria,Ella,Ella es una mujer especial como caída de otro planeta,PROPN,NNP,compound,remove,,,
Ricky Martin,Maria,Ella,Ella es un laberinto carnal que te atrapa y no te enteras,PROPN,NNP,nsubj,remove,,,
Ricky Martin,Maria,Ella,Ella es como un pecado mortal,PROPN,NNP,compound,remove,,,
Ricky Martin,Maria,Ella,Ella es un espejismo sexual,PROPN,NNP,nsubj,remove,,,
Ricky Martin,Maria,Maria,"Un, dos, tres un pasito pa'delante Maria",PROPN,NNP,flat,,,,
Ricky Martin,Maria,Maria,Así es Maria blanca como el día,PROPN,NNP,obl,,,,
Ricky Martin,Maria,Maria,Así es Maria tan caliente y fría,PROPN,NNP,iobj,,,,
Ricky Martin,Maria,Maria,"Un, dos, tres un pasito pa'delante Maria",PROPN,NNP,flat,,,,
Ricky Martin,Maria,Maria,"Un, dos, tres un pasito pa'delante Maria",PROPN,NNP,flat,,,,
Ricky Martin,Maria,Maria,Así es Maria blanca como el día,PROPN,NNP,obl,,,,
Ricky Martin,Maria,Maria,Así es Maria tan caliente y fría,PROPN,NNP,iobj,,,,
Ricky Martin,Maria,Maria,"Un, dos, tres un pasito pa'delante Maria",PROPN,NNP,flat,,,,
Ricky Martin,Maria,Maria,"Un, dos, tres un pasito pa'delante Maria",PROPN,NNP,flat,,,,
Ricky Martin,Maria,Maria,"Un, dos, tres, un pasito pa'delante Maria",PROPN,NNP,list,,,,
Ricky Martin,Maria,Maria,Así es Maria blanca como el día,PROPN,NNP,obl,,,,
Ricky Martin,Maria,Maria,Así es Maria tan caliente y fría,PROPN,NNP,iobj,,,,
Ricky Martin,Maria,Maria,"Un, dos, tres un pasito pa'delante Maria",PROPN,NNP,flat,,,,
Ricky Martin,Maria,Maria,"Un, dos, tres un pasito pa'delante Maria",PROPN,NNP,flat,,,,
Ricky Martin,Maria,Maria,"Un, dos, tres un pasito pa'delante Maria",PROPN,NNP,flat,,,,
The Four Seasons,Sherry,Sherry,"Sherry,",PROPN,NNP,root,,,,
The Four Seasons,Sherry,Sherry,Sherry baby,ADJ,JJ,amod,PROPN,,,
The Four Seasons,Sherry,Sherry,"Sherry,",PROPN,NNP,root,,,,
The Four Seasons,Sherry,Sherry,Sherry baby,ADJ,JJ,amod,PROPN,,,
The Four Seasons,Sherry,Sherry,Sherry baby,ADJ,JJ,amod,PROPN,,,
The Four Seasons,Sherry,Sherry,Sherry can you come out tonight?,PROPN,NNP,nsubj,,,,
The Four Seasons,Sherry,Sherry,Sherry baby,ADJ,JJ,amod,PROPN,,,
The Four Seasons,Sherry,Sherry,Sherry can you come out tonight?,PROPN,NNP,nsubj,,,,
The Four Seasons,Sherry,Sherry,Sherry baby,ADJ,JJ,amod,PROPN,,,
The Four Seasons,Sherry,Sherry,Sherry can you come out tonight,PROPN,NNP,nsubj,,,,
The Four Seasons,Sherry,Sherry,Sherry baby,ADJ,JJ,amod,PROPN,,,
The Four Seasons,Sherry,Sherry,Sherry can you come out tonight?,PROPN,NNP,nsubj,,,,
The Four Seasons,Sherry,Sherry,"Sherry,",PROPN,NNP,root,,,,
The Four Seasons,Sherry,Sherry,Sherry baby,ADJ,JJ,amod,PROPN,,,
The Four Seasons,Sherry,Sherry,"Sherry,",PROPN,NNP,root,,,,
The Four Seasons,Sherry,Sherry,Sherry baby,ADJ,JJ,amod,PROPN,,,
The Four Seasons,Sherry,Sherry,Sherry,PROPN,NNP,root,,,,