file,count,newArtist,newSong
Al_Green-Sha-La-La_(Make_Me_H.txt,1,Al Green,Sha-La-La (Make Me Happy)
All-4-One-I_Can_Love_You_Like_.txt,7,All-4-One,I Can Love You Like That
All-4-One-So_Much_In_Love.txt,1,All-4-One,So Much In Love
Aretha_Franklin-Rock-A-Bye_Your_Baby.txt,26,Aretha Franklin,Rock-A-Bye Your Baby With A Dixie Melody
Asher_Roth-Lark_On_My_Go-Kart.txt,6,Asher Roth,Lark On My Go-Kart
Bachman-Turner_-Let_It_Ride.txt,1,Bachman-Turner Overdrive,Let It Ride
Carla_Thomas-B-A-B-Y.txt,11,Carla Thomas,B-A-B-Y
Creedence_Clear-Sweet_Hitch-Hiker.txt,25,Creedence Clearwater Revival,Sweet Hitch-Hiker
D-12-Purple_Hills.txt,2,D-12,Purple Hills
Deee-Lite-Groove_Is_In_The_Hea.txt,2,Deee-Lite,Groove Is In The Heart
Diana_King-L-L-Lies.txt,5,Diana King,L-L-Lies
Drake-Wu-Tang_Forever.txt,1,Drake,Wu-Tang Forever
Dusty_Springfie-Son-Of-A_Preacher_Ma.txt,3,Dusty Springfield,Son-of-a-Preacher Man
E-40-Captain_Save_A_Hoe.txt,4,E-40,Captain Save A Hoe
"Fergie,_Q-Tip_&-A_Little_Party_Never.txt",1,"Fergie, Q-Tip & GoonRock",A Little Party Never Killed Nobody (All We Got)
Freddy_Cannon-Buzz_Buzz_A-Diddle-I.txt,1,Freddy Cannon,Buzz Buzz A-Diddle-It
Gloria_Estefan_-Falling_In_Love_(Uh-.txt,1,Gloria Estefan,Falling In Love (Uh-Oh)
Gloria_Estefan-Falling_In_Love_(Uh-.txt,1,Gloria Estefan,Falling In Love (Uh-Oh)
H-Town-Knockin__Da_Boots.txt,3,H-Town,Knockin Da Boots
Hi-Five-Unconditional_Love_(.txt,9,Hi-Five,"Unconditional Love (From ""Menace II Society"")"
James_Brown_And-Don't_Be_A_Drop-Out.txt,1,James Brown And The Famous Flames,Don't Be A Drop-Out
Jay-Z_Featuring-Big_Pimpin.txt,2,Jay-Z Featuring UGK,Big Pimpin'
Jay-Z_Featuring-Big_Pimpin'.txt,2,Jay-Z Featuring UGK,Big Pimpin'
Jay-Z_Featuring-Can_I_Get_A....txt,1,Jay-Z Featuring Amil (Of Major Coinz) & Ja,Can I Get A...
Jay-Z_Featuring-Do_It_Again_(Put_Ya_.txt,5,Jay-Z Featuring Beanie Sigel,Do It Again (Put Ya Hands Up)
Jay-Z_Featuring-Guilty_Until_Proven_.txt,83,Jay-Z Featuring R. Kelly,Guilty Until Proven Innocent
Jay-Z_Featuring-Hey_Papi.txt,4,Jay-Z Featuring Memphis Bleek,Hey Papi
Jay-Z_Featuring-Jigga_What....txt,1,Jay-Z Featuring Big Jaz,Jigga What...
Jay-Z_Featuring-Lost_One.txt,2,Jay-Z Featuring Chrisette Michele,Lost One
Jay-Z-99_Problems.txt,3,Jay-Z,99 Problems
Jay-Z-Blue_Magic.txt,3,Jay-Z,Blue Magic
Jay-Z-Can't_Knock_The_Hust.txt,11,Jay-Z,Can't Knock The Hustle
Jay-Z-Change_Clothes.txt,4,Jay-Z,Change Clothes
Jay-Z-D.O.A._(Death_Of_Aut.txt,1,Jay-Z,D.O.A. (Death Of Auto-Tune)
Jay-Z-Dirt_Off_Your_Should.txt,5,Jay-Z,Dirt Off Your Shoulder
Jay-Z-Excuse_Me_Miss.txt,11,Jay-Z,Excuse Me Miss
Jay-Z-Feelin__It.txt,4,Jay-Z,Feelin' It
Jay-Z-Feelin'_It.txt,4,Jay-Z,Feelin' It
Jay-Z-Girls__Best_Friend.txt,1,Jay-Z,Girls Best Friend
"Jay-Z-Girls,_Girls,_Girls.txt",5,Jay-Z,"Girls, Girls, Girls"
Jay-Z-Hard_Knock_Life_(Ghe.txt,2,Jay-Z,Hard Knock Life (Ghetto Anthem)
Jay-Z-I_Just_Wanna_Love_U_.txt,3,Jay-Z,I Just Wanna Love U (Give It 2 Me)
Jay-Z-Izzo_(H.O.V.A.).txt,1,Jay-Z,Izzo (H.O.V.A.)
Jay-Z-Kingdom_Come.txt,5,Jay-Z,Kingdom Come
Jay-Z-Roc_Boys_(And_The_Wi.txt,146,Jay-Z,Roc Boys (And The Winner Is)...
Jay-Z-Show_Me_What_You_Got.txt,6,Jay-Z,Show Me What You Got
"Jay-Z,_Bono,_Th-Stranded_(Haiti_Mon_.txt",1,"Jay-Z, Bono, The Edge & Rihanna",Stranded (Haiti Mon Amour)
"Jay-Z,_Rihanna_-Run_This_Town.txt",3,"Jay-Z, Rihanna & Kanye West",Run This Town
Johnny_Horton-Sleepy-Eyed_John.txt,2,Johnny Horton,Sleepy-Eyed John
Little_Richard-Kansas_City_(Hey-Hey.txt,4,Little Richard,Kansas City (Hey-Hey-Hey-Hey)
Migos-T-Shirt.txt,1,Migos,T-Shirt
Mike_WiLL_Made--23.txt,3,"Mike Will Made It Featuring Miley Cyrus, Wiz Khalifa & Juicy J",23
O-Town-All_Or_Nothing.txt,1,O-Town,All Or Nothing
O-Town-Liquid_Dreams.txt,23,O-Town,Liquid Dreams
Olivia_Newton-J-A_Little_More_Love.txt,5,Olivia Newton-John,A Little More Love
Olivia_Newton-J-Come_On_Over.txt,1,Olivia Newton-John,Come On Over
Olivia_Newton-J-Livin'_In_Desperate_.txt,1,Olivia Newton-John,Livin' In Desperate Times
Olivia_Newton-J-Magic.txt,9,Olivia Newton-John,Magic
Olivia_Newton-J-Sam.txt,72,Olivia Newton-John,Sam
Olivia_Newton-J-Tied_Up.txt,9,Olivia Newton-John,Tied Up
Olivia_Newton-J-Totally_Hot.txt,16,Olivia Newton-John,Totally Hot
Olivia_Newton-J-Twist_Of_Fate.txt,3,Olivia Newton-John,Twist Of Fate
Olivia_Newton-J-Xanadu.txt,1,Olivia Newton-John,Xanadu
Paper_Lace-Billy_-_Don't_Be_A_H.txt,17,Paper Lace,Billy - Don't Be A Hero
Roger_Miller-Chug-A-Lug.txt,1,Roger Miller,Chug-A-Lug
Run-D.M.C.-Down_With_The_King.txt,9,Run-D.M.C,Down With The King
"Run-D.M.C.-Mary,_Mary.txt",16,Run-D.M.C,"Mary, Mary"
Run-D.M.C.-You_Be_Illin.txt,2,Run-D.M.C,You Be Illin'
Run-D.M.C.-You_Be_Illin'.txt,2,Run-D.M.C,You Be Illin'
Shontelle-T-Shirt.txt,16,Shontelle,T-Shirt
Silver-Wham_Bam_(Shang-A-La.txt,3,Silver,Wham Bam (Shang-A-Lang)
Sir_Mix-A-Lot-Baby_Got_Back.txt,27,Sir Mix-A-Lot,Baby Got Back
Sir_Mix-A-Lot-Jump_On_It.txt,18,Sir Mix-A-Lot,Jump On It
Skee-Lo-I_Wish.txt,2,Skee-Lo,I Wish
Squeeze-853-5937.txt,4,Squeeze,853-5937
The_Chi-lites-I_Found_Sunshine.txt,8,The Chi-lites,I Found Sunshine
The_Chi-lites-The_Coldest_Days_Of_.txt,1,The Chi-lites,The Coldest Days Of My Life (Part 1)
The_Coasters-Little_Egypt_(Ying-Y.txt,1,The Coasters,Little Egypt (Ying-Yang)
The_Everly_Brot-Be_Bop_A-Lula.txt,72,The Everly Brothers,Be Bop A-Lula
The_Shangri-Las-Give_Us_Your_Blessin.txt,30,The Shangri-Las,Give Us Your Blessings
The_Shangri-Las-Leader_Of_The_Pack.txt,1,The Shangri-Las,Leader Of The Pack
The_Time-777-9311.txt,25,The Time,777-9311
The-Dream_Featu-My_Love.txt,1,The-Dream Featuring Mariah Carey,My Love
Third_Eye_Blind-Semi-Charmed_Life.txt,1,Third Eye Blind,Semi-Charmed Life
Thomas_Rhett-T-Shirt.txt,1,Thomas Rhett,T-Shirt
Wilson_Pickett-634-5789_(Soulsville.txt,4,Wilson Pickett,"634-5789 (Soulsville, U.S.A.)"
Wilson_Pickett-Mini-Skirt_Minnie.txt,7,Wilson Pickett,Mini-Skirt Minnie
Wilson_Pickett-Stag-O-Lee.txt,13,Wilson Pickett,Stag-O-Lee